FNAME,LNAME,SSN,BDATE,ADDRESS,SALARY,SUPERSSN,DNO, 
James,Borg,888665555,10-NOV-27,"450 Stone, Houston, TX",55000,,1, 
Jennifer,Wallace,987654321,20-JUN-31,"291 Berry, Bellaire, TX",43000,888665555,4, 
Alicia,Zelaya,999887777,19-JUL-58,"3321 Castle, Spring, TX",25000,987654321,4, 
Ahmad,Jabbar,987987987,29-MAR-59,"980 Dallas, Houston, TX",25000,987654321,4, 
Joyce,English,453453453,31-JUL-62,"5631 Rice Oak, Houston, TX",25000,333445555,5, 
Franklin,Wong,333445555,08-DEC-45,"638 Voss, Houston, TX",40000,888665555,5, 
John,Smith,123456789,09-JAN-55,"731 Fondren, Houston, TX",30000,333445555,5, 
Ramesh,Narayan,666884444,15-SEP-52,"971 Fire Oak, Humble, TX",38000,333445555,5, 
Jared,James,111111100,10-OCT-66,"123 Peachtree, Atlanta, GA",85000,,6, 
Brad,Knight,111111103,13-FEB-68,"176 Main St., Atlanta, GA",44000,111111100,6, 
Jeff,Chase,333333301,07-JAN-70,"145 Bradbury, Sacramento, CA",44000,333333300,6, 
Jon,Jones,111111101,14-NOV-67,"111 Allgood, Atlanta, GA",45000,111111100,6, 
Justin,Mark,111111102,12-JAN-66,"2342 May, Atlanta, GA",40000,111111100,6, 
John,James,555555500,30-JUN-75,"7676 Bloomington, Sacramento, CA",81000,,6, 
Nandita,Ball,555555501,16-APR-69,"222 Howard, Sacramento, CA",62000,555555500,6, 
Kim,Grace,333333300,23-OCT-70,"6677 Mills Ave, Sacramento, CA",79000,,6, 
Sam,Snedden,444444403,31-JUL-77,"987 Windy St, Milwaukee, WI",48000,444444400,7, 
Alec,Best,444444402,18-JUN-66,"233 Solid, Milwaukee, WI",60000,444444400,7, 
Bonnie,Bays,444444401,19-JUN-56,"111 Hollow, Milwaukee, WI",70000,444444400,7, 
Jenny,Vos,222222204,11-NOV-67,"263 Mayberry, Milwaukee, WI",61000,222222201,7, 
Tom,Brand,222222203,16-DEC-66,"112 Third St, Milwaukee, WI",62500,222222200,7, 
Andy,Vile,222222202,21-JUN-44,"1967 Jordan, Milwaukee, WI",53000,222222200,7, 
Josh,Zell,222222201,22-MAY-54,"266 McGrady, Milwaukee, WI",56000,222222200,7, 
Evan,Wallis,222222200,16-JAN-58,"134 Pelham, Milwaukee, WI",92000,,7, 
Alex,Freed,444444400,09-OCT-50,"4333 Pillsbury, Milwaukee, WI",89000,,7, 
Chris,Carter,222222205,21-MAR-60,"565 Jordan, Milwaukee, WI",43000,222222201,7, 
Bob,Bender,666666600,17-APR-68,"8794 Garfield, Chicago, IL",96000,,8, 
Jill,Jarvis,666666601,14-JAN-66,"6234 Lincoln, Chicago, IL",36000,666666600,8, 
Kate,King,666666602,16-APR-66,"1976 Boone Trace, Chicago, IL",44000,666666600,8, 
Lyle,Leslie,666666603,09-JUN-63,"417 Hancock Ave, Chicago, IL",41000,666666601,8, 
Billie,King,666666604,01-JAN-60,"556 Washington, Chicago, IL",38000,666666603,8, 
Jon,Kramer,666666605,22-AUG-64,"1988 Windy Creek, Seattle, WA",41500,666666603,8, 
Red,Bacher,666666613,21-MAY-80,"196 Elm Street, Miami, FL",33500,666666612,8, 
Gerald,Small,666666607,15-MAY-62,"122 Ball Street, Dallas, TX",29000,666666602,8, 
Arnold,Head,666666608,19-MAY-67,"233 Spring St, Dallas, TX",33000,666666602,8, 
Helga,Pataki,666666609,11-MAR-69,"101 Holyoke St, Dallas, TX",32000,666666602,8, 
Naveen,Drew,666666610,23-MAY-70,"198 Elm St, Philadelphia, PA",34000,666666607,8, 
Carl,Reedy,666666611,21-JUN-77,"213 Ball St, Philadelphia, PA",32000,666666610,8, 
Sammy,Hall,666666612,11-JAN-70,"433 Main Street, Miami, FL",37000,666666611,8, 
Ray,King,666666606,16-AUG-49,"213 Delk Road, Seattle, WA",44500,666666604,8, 
